Time,Transformer_Age,Avg_Humidity,Avg_Transformer_Temperature,Avg_Load,Number_of_failures
3.936510364,5,70.09188143,40.9,7.033362225,8
3.921821659,6,67.30821019,30.9,12.23867154,12
3.032947191,5,85.1272743,51.3,11.23609946,8
3.134801137,7,55.86728665,32.6,10.45256859,10
2.968372365,5,78.39387785,42.3,8.028743438,5
3.967702152,4,61.04512439,40.4,8.148872168,8
3.201768855,6,81.47759585,34.1,18.53124296,12
3.879544283,6,66.20477995,24.2,11.12465886,12
2.965673492,5,63.93120981,23,8.952830034,6
4.052334436,4,81.67688003,61,12.2316322,12
3.985107813,8,50.427468,41,14.38683669,13
2.503758357,4,74.67627404,44.9,10.4628502,5
1.931687834,7,72.50029317,31,11.94842953,8
3.620690918,6,59.93187901,22.7,9.848109241,10
3.434009837,5,84.06417715,43.7,10.82151369,11
3.617137875,5,85.17512711,40.1,7.290096803,10
3.944502826,5,82.19771123,31.2,12.09997763,12
3.064718689,4,50.97009554,43,7.493107781,4
3.142865344,5,71.87773835,51.2,10.88194349,8
3.072448615,5,70.91808104,54.9,13.68545842,8
4.27052863,6,80.11897853,40.7,14.48932521,17
3.010579944,5,65.17175038,21,13.88428277,7
3.191484689,4,54.78087731,43.1,12.29530205,5
3.003763605,6,71.50536572,63.4,8.573107169,6
2.956824853,5,77.48681606,42.3,8.472274398,7
2.819527618,8,73.12879971,43.3,12.39763639,11
4.066571951,4,69.92698757,20.3,11.83679305,9
3.198226414,5,69.88753539,40,8.464583768,7
4.478577206,6,42.42191302,30.4,10.34896434,10
2.935789505,6,82.73697078,40.7,11.43061711,12
3.850702082,5,66.86686133,32.4,10.28333475,10
3.397449867,6,62.90820167,44.2,11.9896376,9
2.723861988,7,85.91923294,53.6,9.176770384,8
2.485201165,6,73.33554072,62.9,5.121382164,4
2.766815738,5,92.89854372,60,6.810491918,7
3.680528636,5,65.93045604,20.7,12.00167897,9
3.893082362,5,77.80836693,41,8.419774301,10
3.894646689,5,67.56453856,30.1,6.95714129,8
2.629184071,5,54.26902859,23.9,10.03747542,4
0.880711789,4,67.13905445,25,14.3678948,2
2.898330258,6,50.34525352,21.7,12.09621564,8
3.738180863,7,75.55660721,63,9.985832419,14
2.283704889,6,76.0683155,44.3,8.274600715,7
3.484986786,6,76.34318731,44.4,13.1559248,14
3.098634669,5,74.40505218,63.2,8.191569021,9
3.285719949,7,72.04639709,31.8,12.10706496,12
3.65944896,4,75.37182365,63.5,10.74225416,9
3.4218045,7,59.28223473,32.2,5.797651003,7
3.824333874,6,69.19204136,21.3,6.618782286,10
4.293253195,6,62.52454805,40.2,13.10520454,13
3.681866323,6,72.52665322,63.6,12.51638639,11
2.445091,5,58.31738973,33.2,8.189299704,4
3.08207462,6,63.0611635,41.2,10.74302374,8
3.616461743,5,64.45456691,33.2,16.73007271,11
